
================================================================================
model=qwen3_30b route=skewed ep=8 kind=sonic_custom device=5
global_experts=128 local_experts=16 global_tokens=4096,8192,16384,32768 local_tokens=4096,8192,16384,32768
output=artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom
command: CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=5 python sm90-fp8-wgrad/scripts/sweep_seq_lens.py --tokens-list 4096\,8192\,16384\,32768 --experts 16 --top-k 8 --hidden 2048 --intermediate 768 --route skewed --seed 1234 --warmup-iters 500 --active-iters 5000 --repeat 3 --custom-layout-mode padded --custom-tuned-config default --deepseek-diff-gate 0.001 --output-dir artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom --results-json artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom/results.json --include-sonic --include-custom --no-include-deepgemm --isolate-cases
# Wgrad Sequence-Length Sweep

created_at: `2026-06-29T10:24:58.749008+00:00`
deepseek_diff_gate: `0.001`
results_json: `artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_30b/ep8/skewed/sonic_custom/results.json`

| tokens | case | status | total ms | speed vs Sonic | total valid TFLOP/s | max DeepSeek calc_diff |
| ---: | --- | --- | ---: | ---: | ---: | ---: |
| 4096 | Sonic BF16 | ok | 0.966361 | 1.0000x | 320.002 | 1.148587e-08 |
| 4096 | Custom CuTe FP8 BF16-out | ok | 0.831333 | 1.1624x | 371.978 | 2.521697e-07 |
| 8192 | Sonic BF16 | ok | 1.794783 | 1.0000x | 344.596 | 2.979197e-08 |
| 8192 | Custom CuTe FP8 BF16-out | ok | 1.521040 | 1.1800x | 406.613 | 2.408266e-07 |
| 16384 | Sonic BF16 | ok | 3.731180 | 1.0000x | 331.517 | 6.954308e-08 |
| 16384 | Custom CuTe FP8 BF16-out | ok | 2.965349 | 1.2583x | 417.135 | 2.217278e-07 |
| 32768 | Sonic BF16 | ok | 9.591555 | 1.0000x | 257.925 | 1.496552e-07 |
| 32768 | Custom CuTe FP8 BF16-out | ok | 5.885711 | 1.6296x | 420.323 | 2.650850e-07 |

