
================================================================================
model=qwen3_5_397b_a17b route=balanced ep=1 kind=sonic_custom device=2
global_experts=512 local_experts=512 global_tokens=4096,8192,16384,32768 local_tokens=4096,8192,16384,32768
output=artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep1/balanced/sonic_custom
command: CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=2 python sm90-fp8-wgrad/scripts/sweep_seq_lens.py --tokens-list 4096\,8192\,16384\,32768 --experts 512 --top-k 10 --hidden 4096 --intermediate 1024 --route balanced --seed 1234 --warmup-iters 500 --active-iters 5000 --repeat 3 --custom-layout-mode padded --custom-tuned-config default --deepseek-diff-gate 0.001 --output-dir artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep1/balanced/sonic_custom --results-json artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep1/balanced/sonic_custom/results.json --include-sonic --include-custom --no-include-deepgemm --isolate-cases
# Wgrad Sequence-Length Sweep

created_at: `2026-06-29T17:52:02.390666+00:00`
deepseek_diff_gate: `0.001`
results_json: `artifacts/sm90_fp8_wgrad_matrix_full_20260629T100608Z/qwen3_5_397b_a17b/ep1/balanced/sonic_custom/results.json`

| tokens | case | status | total ms | speed vs Sonic | total valid TFLOP/s | max DeepSeek calc_diff |
| ---: | --- | --- | ---: | ---: | ---: | ---: |
| 4096 | Sonic BF16 | ok | 7.652414 | 1.0000x | 134.702 | 2.328755e-10 |
| 4096 | Custom CuTe FP8 BF16-out | ok | 7.508999 | 1.0191x | 137.274 | 1.912409e-07 |
| 8192 | Sonic BF16 | ok | 12.736922 | 1.0000x | 161.859 | 4.657248e-10 |
| 8192 | Custom CuTe FP8 BF16-out | ok | 10.475285 | 1.2159x | 196.805 | 2.226997e-07 |
| 16384 | Sonic BF16 | ok | 17.748193 | 1.0000x | 232.315 | 7.914861e-10 |
| 16384 | Custom CuTe FP8 BF16-out | ok | 14.054525 | 1.2628x | 293.369 | 2.269263e-07 |
| 32768 | Sonic BF16 | ok | 32.286524 | 1.0000x | 255.411 | 1.629881e-09 |
| 32768 | Custom CuTe FP8 BF16-out | ok | 20.363520 | 1.5855x | 404.956 | 2.402205e-07 |

